Kraj,Okres,Obec,Kód obce,Okrsek,Vydané obálky,Odevzdané obálky,Platné hlasy,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Volte Pravı Blok,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Spoleènost proti developerské vıstavbì v Prokopském údolí,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Unie H.A.V.E.L.,Èeská národní fronta,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù,Národ Sobì
Karlovarskı kraj,Cheb,Cheb,554481,19,750,364,361,39,1,0,28,0,0,28,32,9,6,0,4,0,0,45,0,0,0,0,14,105,0,1,9,0,3,0,3,34,0,0
Karlovarskı kraj,Cheb,Cheb,554481,13,872,403,398,36,0,0,31,0,0,41,34,10,4,0,3,0,0,37,0,0,0,0,9,125,0,0,4,0,2,0,0,60,2,0
Karlovarskı kraj,Cheb,Cheb,554481,4,1030,289,287,26,3,0,22,0,0,13,27,3,0,0,2,0,0,27,0,0,0,0,8,96,0,0,5,0,7,0,0,48,0,0
Karlovarskı kraj,Cheb,Cheb,554481,32,920,491,487,15,1,0,46,0,0,27,72,5,3,0,4,8,0,33,0,0,0,0,6,182,0,1,7,0,8,0,1,67,1,0
Karlovarskı kraj,Cheb,Cheb,554481,30,1049,564,561,24,3,0,31,0,0,44,63,4,5,0,2,1,2,35,0,0,0,0,21,211,0,1,15,0,4,1,3,90,1,0
Karlovarskı kraj,Cheb,Cheb,554481,25,790,427,426,28,0,0,31,0,0,33,45,3,2,0,5,0,0,32,0,0,0,0,2,169,0,1,11,0,1,0,2,59,2,0
Karlovarskı kraj,Cheb,Cheb,554481,18,592,308,306,25,1,0,21,0,0,31,21,6,0,0,8,0,0,32,0,0,0,0,12,95,0,2,5,0,4,1,1,41,0,0
Karlovarskı kraj,Cheb,Cheb,554481,15,1487,796,793,53,2,0,77,0,0,53,79,16,2,0,7,0,0,98,0,0,0,0,34,234,0,3,16,0,3,4,5,106,1,0
Karlovarskı kraj,Cheb,Cheb,554481,24,240,149,149,1,2,0,12,0,0,14,11,0,0,0,0,0,0,16,0,0,0,0,0,77,0,0,2,0,0,0,0,13,1,0
Karlovarskı kraj,Cheb,Cheb,554481,16,1038,644,644,42,2,0,37,0,0,62,42,11,7,0,15,2,5,67,0,0,0,0,27,226,0,3,23,0,5,0,1,63,4,0
Karlovarskı kraj,Cheb,Cheb,554481,27,838,536,535,53,5,0,32,0,0,56,48,7,2,0,4,0,1,48,0,0,0,0,27,175,0,0,21,0,1,2,3,49,1,0
Karlovarskı kraj,Cheb,Cheb,554481,12,728,373,371,23,1,0,41,0,0,24,58,5,0,0,3,0,0,15,0,0,0,0,11,133,0,0,11,0,2,0,0,44,0,0
Karlovarskı kraj,Cheb,Cheb,554481,3,696,406,404,52,0,0,23,0,0,43,34,10,5,0,6,0,0,53,0,0,0,0,14,104,0,1,15,0,1,0,1,41,1,0
Karlovarskı kraj,Cheb,Cheb,554481,28,139,68,68,3,0,0,3,0,0,2,12,1,0,0,0,0,0,4,0,0,0,2,1,21,0,0,0,0,0,0,0,18,1,0
Karlovarskı kraj,Cheb,Cheb,554481,10,656,341,341,28,0,0,25,0,0,23,24,8,2,0,2,0,0,44,0,0,0,1,12,121,0,0,11,0,0,0,0,40,0,0
Karlovarskı kraj,Cheb,Cheb,554481,2,785,398,394,44,3,0,18,0,0,31,25,21,4,0,7,1,0,61,0,0,0,1,26,93,0,1,11,0,3,0,2,39,3,0
Karlovarskı kraj,Cheb,Cheb,554481,6,610,349,344,28,2,0,23,0,0,29,36,1,1,0,0,2,0,36,0,0,0,0,11,122,0,2,10,0,3,0,1,37,0,0
Karlovarskı kraj,Cheb,Cheb,554481,8,720,400,398,35,4,0,30,0,0,48,36,7,3,0,0,0,1,38,0,0,0,0,7,127,0,0,7,0,1,0,1,51,2,0
Karlovarskı kraj,Cheb,Cheb,554481,5,697,296,295,25,1,0,14,0,0,16,22,4,1,0,3,0,1,27,0,0,0,0,8,125,0,0,9,0,2,1,2,34,0,0
Karlovarskı kraj,Cheb,Cheb,554481,21,765,443,441,25,3,0,63,0,0,37,46,4,2,0,3,0,0,29,0,0,0,1,3,155,0,3,9,0,3,0,0,54,1,0
