Kraj,Okres,Obec,Kod obce,Vydané obálky,Odevzdané obálky,Platné hlasy,Obèanská demokratická strana,Øád národa - Vlastenecká unie,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,Èeská strana sociálnì demokratická,Radostné Èesko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická strana Èech a Moravy,Strana zelenıch,ROZUMNÍ - stop migraci a diktátu EU,Strana svobodnıch obèanù,Blok proti islamizaci - Obrana domova,Obèanská demokratická aliance,Èeská pirátská strana,OBÈANÉ 2011-SPRAVEDLNOST PRO LIDI,Referendum o EU	Referendum o Evropské unii,TOP 09,ANO 2011,Sdruení pro republiku,Køesanská a demokratická unie,Èeská strana národnì sociální,REALISTÉ,SPORTOVCI,Dìlnická strana sociální spravedlnosti,Svoboda a pøímá demokracie,Strana Práv Obèanù
Plzeòskı kraj,Klatovy,Kvášòovice,541931,106,71,70,12,0,0,6,0,8,2,1,0,0,0,0,14,0,0,9,12,0,1,0,0,0,0,5,0
Plzeòskı kraj,Klatovy,Lomec,578070,104,82,81,15,0,0,7,0,11,7,0,1,0,0,1,5,0,0,1,17,0,5,0,0,0,0,10,1
Plzeòskı kraj,Klatovy,Malı Bor,556629,446,266,263,23,0,0,20,1,18,18,2,4,2,0,2,31,0,0,10,95,0,23,0,1,0,0,11,2
Plzeòskı kraj,Klatovy,Maòovice,578410,49,37,37,4,0,0,4,0,2,4,0,0,1,0,0,2,0,1,0,10,0,1,0,0,0,0,8,0
Plzeòskı kraj,Klatovy,Mìèín,556637,894,531,528,31,0,0,43,0,21,67,3,3,5,0,0,31,0,2,13,226,0,7,0,2,3,1,69,1
Plzeòskı kraj,Klatovy,Mezihoøí,578461,51,29,29,4,0,0,4,0,2,2,1,1,0,0,0,4,0,0,4,4,0,1,0,0,0,0,1,1
Plzeòskı kraj,Klatovy,Mlınské Struhadlo,542059,47,29,29,6,0,0,4,0,1,1,0,0,0,0,0,2,0,0,3,11,0,0,0,0,0,0,1,0
Plzeòskı kraj,Klatovy,Modrava,542148,134,121,119,43,0,0,6,0,14,4,2,0,2,0,1,13,1,0,14,9,0,4,0,1,0,0,5,0
Plzeòskı kraj,Klatovy,Mochtín,556718,816,507,506,60,1,0,30,0,30,62,7,3,7,1,2,25,1,1,27,161,2,12,0,1,3,0,65,5
Plzeòskı kraj,Klatovy,Mokrosuky,556726,106,84,84,19,0,0,8,0,4,4,0,1,0,0,1,12,0,0,7,21,0,1,0,1,0,0,5,0
